id,request_time,bus_income,left_db_border,right_db_border,timeout
261,"2020-02-16 08:04:51.267324",08:06:17,08:01:00,08:15:00,43
262,"2020-02-16 08:05:44.467459",08:05:40,08:01:00,08:15:00,10
263,"2020-02-16 08:06:02.263123",08:26:54,08:15:00,08:28:00,626
264,"2020-02-16 08:16:35.480751",08:28:34,08:28:00,08:41:00,359
265,"2020-02-16 08:22:43.744637",08:28:24,08:28:00,08:41:00,170
266,"2020-02-16 08:25:41.852626",08:28:18,08:28:00,08:41:00,78
267,"2020-02-16 08:27:09.786053",08:28:08,08:28:00,08:41:00,29
268,"2020-02-16 08:27:48.210428",08:28:26,08:28:00,08:41:00,19
269,"2020-02-16 08:28:16.266578",08:28:12,08:28:00,08:41:00,10
270,"2020-02-16 08:28:35.125741",08:43:08,08:41:00,08:54:00,436
271,"2020-02-16 08:36:03.551872",08:46:04,08:41:00,08:54:00,300
272,"2020-02-16 08:41:12.709416",08:45:57,08:41:00,08:54:00,142
273,"2020-02-16 08:43:46.237823",08:46:09,08:41:00,08:54:00,71
274,"2020-02-16 08:45:09.846977",08:45:54,08:41:00,08:54:00,22
275,"2020-02-16 08:45:43.061128",08:46:09,08:41:00,08:54:00,13
276,"2020-02-16 08:46:06.318906",08:46:09,08:41:00,08:54:00,10
277,"2020-02-16 08:46:24.099697",08:46:09,08:41:00,08:54:00,10
278,"2020-02-16 08:46:42.182227",09:00:30,08:54:00,09:05:00,414
279,"2020-02-16 08:53:46.172562",09:00:46,08:54:00,09:05:00,210
280,"2020-02-16 08:57:24.401983",09:00:31,08:54:00,09:05:00,93
281,"2020-02-16 08:59:08.246843",09:00:33,08:54:00,09:05:00,42
282,"2020-02-16 09:00:01.212170",09:00:25,08:54:00,09:05:00,12
283,"2020-02-16 09:00:24.090244",09:00:25,08:54:00,09:05:00,10
284,"2020-02-16 09:00:42.333151",09:00:26,08:54:00,09:05:00,10
285,"2020-02-16 09:00:59.779651",09:00:26,08:54:00,09:05:00,10
286,"2020-02-16 09:01:17.741403",09:21:36,09:15:00,09:26:00,609
287,"2020-02-16 09:11:38.054696",09:22:55,09:15:00,09:26:00,338
288,"2020-02-16 09:17:26.261054",09:23:35,09:15:00,09:26:00,184
289,"2020-02-16 09:20:39.166442",09:23:47,09:15:00,09:26:00,94
290,"2020-02-16 09:22:22.249529",09:23:56,09:15:00,09:26:00,47
291,"2020-02-16 09:23:20.509740",09:24:33,09:15:00,09:26:00,36
292,"2020-02-16 09:24:08.567105",09:23:54,09:15:00,09:26:00,10
293,"2020-02-16 09:24:26.649047",09:42:08,09:39:00,09:54:00,531
294,"2020-02-16 09:33:30.477802",09:43:09,09:39:00,09:54:00,289
295,"2020-02-16 09:38:29.113167",09:43:46,09:39:00,09:54:00,158
296,"2020-02-16 09:41:17.832381",09:44:11,09:39:00,09:54:00,87
297,"2020-02-16 09:42:56.178290",09:44:41,09:39:00,09:54:00,52
298,"2020-02-16 09:43:59.306471",09:45:40,09:39:00,09:54:00,50
299,"2020-02-16 09:44:57.092565",09:44:55,09:39:00,09:54:00,10
300,"2020-02-16 09:45:14.956302",10:05:39,09:54:00,10:09:00,612
301,"2020-02-16 09:55:38.365986",10:06:32,09:54:00,10:09:00,327
302,"2020-02-16 10:01:17.393894",10:07:00,09:54:00,10:09:00,171
303,"2020-02-16 10:04:20.746974",10:07:13,09:54:00,10:09:00,86
304,"2020-02-16 10:05:58.631565",10:07:17,09:54:00,10:09:00,39
305,"2020-02-16 10:06:47.043474",10:07:12,09:54:00,10:09:00,12
306,"2020-02-16 10:07:09.760785",10:07:08,09:54:00,10:09:00,10
307,"2020-02-16 10:07:27.521773",10:23:08,10:09:00,10:24:00,470
308,"2020-02-16 10:15:26.079488",10:25:44,10:24:00,10:39:00,309
309,"2020-02-16 10:20:44.207997",10:27:36,10:24:00,10:39:00,206
310,"2020-02-16 10:24:22.909971",10:26:53,10:24:00,10:39:00,75
311,"2020-02-16 10:25:45.989537",10:27:28,10:24:00,10:39:00,51
312,"2020-02-16 10:26:48.954750",10:27:22,10:24:00,10:39:00,17
313,"2020-02-16 10:27:16.941009",10:27:23,10:24:00,10:39:00,10
314,"2020-02-16 10:27:34.816656",10:27:24,10:24:00,10:39:00,10
315,"2020-02-16 10:27:52.981636",10:27:24,10:24:00,10:39:00,10
316,"2020-02-16 10:28:11.257603",10:42:57,10:39:00,10:54:00,443
317,"2020-02-16 10:35:45.369088",10:42:17,10:39:00,10:54:00,196
318,"2020-02-16 10:39:13.916447",10:42:34,10:39:00,10:54:00,100
319,"2020-02-16 10:41:02.223466",10:43:11,10:39:00,10:54:00,64
320,"2020-02-16 10:42:15.031651",10:43:09,10:39:00,10:54:00,27
321,"2020-02-16 10:42:53.060865",10:44:08,10:39:00,10:54:00,37
322,"2020-02-16 10:43:41.158689",10:43:46,10:39:00,10:54:00,10
323,"2020-02-16 10:43:59.325645",10:43:45,10:39:00,10:54:00,10
324,"2020-02-16 10:44:16.958997",10:43:45,10:39:00,10:54:00,10
325,"2020-02-16 10:44:35.277460",11:07:24,10:54:00,11:09:00,684
326,"2020-02-16 10:56:08.979450",11:08:25,10:54:00,11:09:00,368
327,"2020-02-16 11:02:27.855742",11:08:27,10:54:00,11:09:00,180
328,"2020-02-16 11:05:36.714837",11:08:31,10:54:00,11:09:00,87
329,"2020-02-16 11:07:15.126901",11:08:34,10:54:00,11:09:00,39
330,"2020-02-16 11:08:03.325972",11:09:05,11:09:00,11:24:00,31
331,"2020-02-16 11:08:46.309499",11:08:45,10:54:00,11:09:00,10
332,"2020-02-16 11:09:05.388730",11:08:45,10:54:00,11:09:00,10
333,"2020-02-16 11:09:27.536189",11:23:20,11:09:00,11:24:00,416
334,"2020-02-16 11:16:36.088621",11:23:56,11:09:00,11:24:00,220
335,"2020-02-16 11:20:24.428369",11:24:27,11:24:00,11:39:00,121
336,"2020-02-16 11:22:37.725479",11:24:43,11:24:00,11:39:00,63
337,"2020-02-16 11:23:50.588534",11:24:45,11:24:00,11:39:00,27
338,"2020-02-16 11:24:28.584478",11:24:55,11:24:00,11:39:00,13
339,"2020-02-16 11:24:51.566203",11:24:57,11:24:00,11:39:00,10
340,"2020-02-16 11:25:09.355973",11:24:58,11:24:00,11:39:00,10
341,"2020-02-16 11:25:27.459044",11:24:58,11:24:00,11:39:00,10
342,"2020-02-16 11:25:44.962499",11:41:30,11:39:00,11:54:00,473
343,"2020-02-16 11:33:48.704317",11:42:15,11:39:00,11:54:00,253
344,"2020-02-16 11:38:11.084489",11:42:19,11:39:00,11:54:00,124
345,"2020-02-16 11:40:24.463396",11:42:30,11:39:00,11:54:00,63
346,"2020-02-16 11:41:37.553405",11:42:50,11:39:00,11:54:00,36
347,"2020-02-16 11:42:26.271507",11:42:44,11:39:00,11:54:00,10
348,"2020-02-16 11:42:43.986023",11:42:39,11:39:00,11:54:00,10
349,"2020-02-16 11:43:02.157838",11:42:39,11:39:00,11:54:00,10
350,"2020-02-16 11:43:20.205863",12:03:42,11:54:00,12:09:00,611
351,"2020-02-16 11:53:38.588525",12:07:12,11:54:00,12:09:00,407
352,"2020-02-16 12:00:37.220130",12:07:21,11:54:00,12:09:00,202
353,"2020-02-16 12:04:10.561229",12:07:52,11:54:00,12:09:00,111
354,"2020-02-16 12:06:13.970446",12:08:04,11:54:00,12:09:00,55
355,"2020-02-16 12:07:17.228753",12:08:29,11:54:00,12:09:00,36
356,"2020-02-16 12:08:05.151655",12:08:24,11:54:00,12:09:00,10
357,"2020-02-16 12:08:23.247998",12:08:21,11:54:00,12:09:00,10
358,"2020-02-16 12:08:41.090836",12:27:23,12:24:00,12:39:00,561
359,"2020-02-16 12:18:14.639547",12:29:45,12:24:00,12:39:00,345
360,"2020-02-16 12:24:07.999811",12:31:17,12:24:00,12:39:00,215
361,"2020-02-16 12:27:50.863907",12:32:29,12:24:00,12:39:00,139
362,"2020-02-16 12:30:19.685573",12:33:33,12:24:00,12:39:00,97
363,"2020-02-16 12:32:08.770785",12:34:02,12:24:00,12:39:00,57
364,"2020-02-16 12:33:17.147394",12:43:48,12:39:00,12:54:00,315
365,"2020-02-16 12:38:40.540479",12:45:31,12:39:00,12:54:00,205
